pm2.5,year,month,day,hour,dew_point,temperature,pressure,wind_direction,wind_speed,snow_hours,rain_hours
21,2010,1,6,6,-26,-14,1033,NE,28.6,0,0
25,2010,1,6,7,-26,-15,1034,NE,33.52,0,0
20,2010,1,6,8,-26,-14,1034,NE,39.33,0,0
29,2010,1,6,9,-25,-13,1035,NE,44.25,0,0
34,2010,1,6,10,-25,-12,1035,NE,50.06,0,0
42,2010,1,6,11,-24,-11,1035,NE,54.98,0,0
28,2010,1,6,12,-24,-10,1034,NE,59,0,0
36,2010,1,6,13,-22,-10,1033,NW,4.02,0,0
48,2010,1,6,14,-22,-9,1033,NW,5.81,0,0
49,2010,1,6,15,-22,-8,1033,cv,0.89,0,0
52,2010,1,6,16,-22,-8,1033,NW,1.79,0,0
56,2010,1,6,17,-21,-9,1033,NW,3.58,0,0
96,2010,1,6,18,-22,-9,1033,NW,5.37,0,0
75,2010,1,6,19,-22,-14,1034,cv,0.89,0,0
105,2010,1,6,20,-22,-12,1035,NW,1.79,0,0
132,2010,1,6,21,-21,-14,1034,NW,3.58,0,0
93,2010,1,6,22,-22,-16,1035,NW,5.37,0,0
131,2010,1,6,23,-21,-16,1035,NW,7.16,0,0
127,2010,1,7,0,-21,-16,1035,NW,8.95,0,0
130,2010,1,7,1,-21,-16,1035,cv,0.45,0,0
43,2010,1,7,2,-22,-18,1036,cv,1.34,0,0
37,2010,1,7,3,-23,-15,1036,NW,4.02,0,0
30,2010,1,7,4,-24,-16,1035,NW,7.15,0,0
28,2010,1,7,5,-25,-15,1035,NW,10.28,0,0
24,2010,1,7,6,-24,-15,1035,NW,14.3,0,0
23,2010,1,7,7,-25,-13,1036,NE,4.92,0,0
24,2010,1,7,8,-24,-14,1036,NW,4.02,0,0
27,2010,1,7,9,-23,-12,1036,NW,8.94,0,0
40,2010,1,7,10,-22,-11,1036,NW,12.96,0,0
42,2010,1,7,11,-20,-10,1036,NW,16.09,0,0
42,2010,1,7,12,-21,-9,1035,NW,19.22,0,0
55,2010,1,7,13,-21,-8,1034,NW,21.01,0,0
52,2010,1,7,14,-20,-7,1033,NW,22.8,0,0
51,2010,1,7,15,-20,-7,1032,NW,24.59,0,0
57,2010,1,7,16,-18,-8,1032,NW,26.38,0,0
50,2010,1,7,17,-19,-9,1032,NW,28.17,0,0
54,2010,1,7,18,-19,-11,1032,NE,0.89,0,0
67,2010,1,7,19,-18,-11,1033,NW,1.79,0,0
106,2010,1,7,20,-19,-15,1032,NE,1.79,0,0
159,2010,1,7,21,-19,-14,1032,cv,0.45,0,0
198,2010,1,7,22,-21,-14,1032,cv,1.34,0,0
190,2010,1,7,23,-21,-16,1032,cv,2.23,0,0
210,2010,1,8,0,-21,-17,1031,NW,1.79,0,0
195,2010,1,8,1,-19,-16,1031,NW,3.58,0,0
275,2010,1,8,2,-20,-16,1031,NE,0.89,0,0
164,2010,1,8,3,-19,-15,1030,SE,0.89,0,0
110,2010,1,8,4,-18,-15,1030,cv,0.45,0,0
100,2010,1,8,5,-18,-15,1029,cv,1.34,0,0
81,2010,1,8,6,-18,-15,1029,NW,1.79,0,0
71,2010,1,8,7,-16,-13,1029,NE,0.89,0,0
66,2010,1,8,8,-16,-12,1029,SE,0.89,0,0
92,2010,1,8,9,-16,-12,1030,SE,1.78,0,0
135,2010,1,8,10,-17,-10,1030,NE,0.89,0,0
155,2010,1,8,11,-16,-10,1029,cv,0.89,0,0
198,2010,1,8,12,-16,-9,1028,SE,3.13,0,0
250,2010,1,8,13,-15,-8,1026,SE,4.92,0,0
200,2010,1,8,14,-16,-8,1026,cv,0.89,0,0
231,2010,1,8,15,-16,-8,1025,cv,1.78,0,0
250,2010,1,8,16,-16,-8,1025,cv,2.67,0,0
212,2010,1,8,17,-17,-8,1025,SE,0.89,0,0
219,2010,1,8,18,-17,-9,1026,cv,0.45,0,0
227,2010,1,8,19,-17,-11,1026,cv,1.34,0,0
226,2010,1,8,20,-17,-12,1026,cv,1.79,0,0
225,2010,1,8,21,-18,-14,1027,NW,1.79,0,0
168,2010,1,8,22,-16,-9,1027,NW,4.92,0,0
169,2010,1,8,23,-16,-11,1027,NW,6.71,0,0
165,2010,1,9,0,-17,-13,1027,cv,0.89,0,0
159,2010,1,9,1,-17,-13,1027,NW,3.13,0,0
167,2010,1,9,2,-17,-14,1027,NW,4.92,0,0
196,2010,1,9,3,-17,-15,1027,NW,8.05,0,0
169,2010,1,9,4,-17,-13,1027,NW,9.84,0,0
155,2010,1,9,5,-19,-16,1027,NW,13.86,0,0
119,2010,1,9,6,-18,-15,1027,NW,17.88,0,0
106,2010,1,9,7,-19,-15,1027,NW,21.9,0,0
93,2010,1,9,8,-18,-14,1028,NW,25.92,0,0
84,2010,1,9,9,-18,-9,1029,NE,5.81,0,0
73,2010,1,9,10,-17,-7,1029,NE,11.62,0,0
66,2010,1,9,11,-17,-6,1030,NE,17.43,0,0
40,2010,1,9,12,-16,-6,1029,NE,23.24,0,0
49,2010,1,9,13,-16,-5,1029,NE,28.16,0,0
50,2010,1,9,14,-15,-4,1029,NE,33.08,0,0
49,2010,1,9,15,-14,-4,1028,NE,37.1,0,0
41,2010,1,9,16,-15,-4,1029,NE,38.89,0,0
37,2010,1,9,17,-15,-4,1030,NW,1.79,0,0
45,2010,1,9,18,-15,-7,1030,NE,3.13,0,0
44,2010,1,9,19,-15,-6,1031,NW,3.13,0,0
54,2010,1,9,20,-15,-7,1032,NW,4.92,0,0
50,2010,1,9,21,-15,-6,1032,NE,3.13,0,0
47,2010,1,9,22,-15,-8,1033,cv,0.45,0,0
66,2010,1,9,23,-15,-8,1033,cv,0.9,0,0
75,2010,1,10,0,-15,-11,1033,NW,0.89,0,0
82,2010,1,10,1,-17,-13,1033,NW,1.78,0,0
66,2010,1,10,2,-17,-12,1033,NW,4.91,0,0
83,2010,1,10,3,-17,-13,1033,NW,8.04,0,0
62,2010,1,10,4,-19,-14,1032,NW,9.83,0,0
40,2010,1,10,5,-18,-13,1032,NW,12.96,0,0
23,2010,1,10,6,-19,-13,1032,NW,16.09,0,0
25,2010,1,10,7,-19,-14,1033,NW,19.22,0,0
27,2010,1,10,8,-19,-14,1034,NW,22.35,0,0
35,2010,1,10,9,-17,-12,1033,NW,24.14,0,0
50,2010,1,10,10,-16,-7,1033,NE,4.02,0,0
70,2010,1,10,11,-15,-7,1033,NW,3.13,0,0
75,2010,1,10,12,-15,-7,1032,NW,6.26,0,0
58,2010,1,10,13,-14,-6,1031,NW,9.39,0,0
70,2010,1,10,14,-14,-6,1031,NW,12.52,0,0
68,2010,1,10,15,-13,-5,1030,NW,14.31,0,0
71,2010,1,10,16,-14,-5,1031,NW,16.1,0,0
88,2010,1,10,17,-14,-6,1031,NW,19.23,0,0
84,2010,1,10,18,-13,-7,1032,NW,23.25,0,0
83,2010,1,10,19,-15,-6,1032,NW,27.27,0,0
66,2010,1,10,20,-15,-6,1033,NW,30.4,0,0
27,2010,1,10,21,-15,-4,1034,NW,35.32,0,0
24,2010,1,10,22,-16,-4,1034,NW,44.26,0,0
22,2010,1,10,23,-17,-5,1035,NW,52.31,0,0
23,2010,1,11,0,-17,-6,1035,NW,60.36,0,0
27,2010,1,11,1,-17,-8,1035,cv,0.89,0,0
23,2010,1,11,2,-19,-11,1036,NW,4.02,0,0
17,2010,1,11,3,-20,-11,1036,NW,8.94,0,0
17,2010,1,11,4,-21,-11,1035,NE,4.02,0,0
16,2010,1,11,5,-22,-12,1035,NW,3.13,0,0
16,2010,1,11,6,-22,-12,1035,NE,4.92,0,0
20,2010,1,11,7,-22,-13,1036,NW,5.81,0,0
20,2010,1,11,8,-22,-9,1036,NW,13.86,0,0
18,2010,1,11,9,-22,-10,1036,NW,21.91,0,0
25,2010,1,11,10,-22,-9,1036,NW,29.06,0,0
26,2010,1,11,11,-21,-9,1036,NW,33.08,0,0
27,2010,1,11,12,-20,-6,1035,NW,42.02,0,0
28,2010,1,11,13,-19,-5,1034,NW,50.96,0,0
15,2010,1,11,14,-19,-5,1033,NW,59.01,0,0
24,2010,1,11,15,-20,-5,1033,NW,66.16,0,0
13,2010,1,11,16,-20,-5,1032,NW,71.97,0,0
13,2010,1,11,17,-20,-5,1033,NW,76.89,0,0
13,2010,1,11,18,-20,-7,1033,NW,81.81,0,0
17,2010,1,11,19,-22,-7,1033,NW,85.83,0,0
20,2010,1,11,20,-22,-8,1033,NW,89.85,0,0
27,2010,1,11,21,-23,-10,1033,NW,91.64,0,0
20,2010,1,11,22,-23,-13,1033,NW,93.43,0,0
15,2010,1,11,23,-22,-12,1032,cv,0.89,0,0
21,2010,1,12,0,-22,-15,1031,cv,1.78,0,0
21,2010,1,12,1,-22,-14,1031,NE,1.79,0,0
37,2010,1,12,2,-22,-14,1031,NW,0.89,0,0
26,2010,1,12,3,-24,-18,1030,NE,1.79,0,0
15,2010,1,12,4,-24,-13,1030,NE,3.58,0,0
9,2010,1,12,5,-25,-14,1030,NW,3.13,0,0
11,2010,1,12,6,-24,-14,1030,NW,7.15,0,0
11,2010,1,12,7,-25,-12,1030,NW,12.96,0,0
16,2010,1,12,8,-26,-14,1030,NW,16.98,0,0
13,2010,1,12,9,-25,-12,1031,NW,21,0,0
15,2010,1,12,10,-25,-11,1031,NW,26.81,0,0
21,2010,1,12,11,-24,-11,1030,NW,35.75,0,0
24,2010,1,12,12,-23,-11,1029,NW,47.82,0,0
22,2010,1,12,13,-22,-11,1029,NW,63.02,0,0
22,2010,1,12,14,-23,-11,1029,NW,75.98,0,0
22,2010,1,12,15,-22,-11,1029,NW,88.05,0,0
19,2010,1,12,16,-23,-11,1030,NW,101.01,0,0
23,2010,1,12,17,-24,-11,1030,NW,109.06,0,0
25,2010,1,12,18,-24,-11,1032,NW,118,0,0
25,2010,1,12,19,-23,-11,1032,NW,126.05,0,0
31,2010,1,12,20,-23,-12,1032,NW,134.1,0,0
25,2010,1,12,21,-24,-12,1033,NW,142.15,0,0
22,2010,1,12,22,-23,-12,1033,NW,150.2,0,0
22,2010,1,12,23,-23,-12,1034,NW,160.03,0,0
15,2010,1,13,0,-24,-12,1034,NW,169.86,0,0
16,2010,1,13,1,-24,-12,1033,NW,178.8,0,0
11,2010,1,13,2,-25,-12,1033,NW,189.98,0,0
11,2010,1,13,3,-24,-13,1033,NW,198.03,0,0
12,2010,1,13,4,-25,-12,1032,NW,205.18,0,0
11,2010,1,13,5,-25,-12,1033,NW,215.01,0,0
12,2010,1,13,6,-25,-12,1032,NW,226.19,0,0
27,2010,1,13,7,-25,-12,1032,NW,235.13,0,0
28,2010,1,13,8,-25,-12,1032,NW,243.18,0,0
34,2010,1,13,9,-23,-11,1033,NW,252.12,0,0
33,2010,1,13,10,-23,-10,1033,NW,257.93,0,0
36,2010,1,13,11,-22,-9,1033,NW,263.74,0,0
26,2010,1,13,12,-21,-8,1031,NW,270.89,0,0
49,2010,1,13,13,-21,-6,1030,NW,278.94,0,0
52,2010,1,13,14,-20,-5,1029,NW,286.99,0,0
47,2010,1,13,15,-22,-5,1028,NW,294.14,0,0
47,2010,1,13,16,-21,-5,1028,NW,299.06,0,0
39,2010,1,13,17,-19,-7,1028,SE,1.79,0,0
59,2010,1,13,18,-19,-8,1028,cv,0.45,0,0
76,2010,1,13,19,-20,-9,1028,cv,1.34,0,0
96,2010,1,13,20,-19,-10,1027,SE,1.79,0,0
95,2010,1,13,21,-19,-13,1027,cv,0.89,0,0
68,2010,1,13,22,-18,-12,1027,cv,1.78,0,0
65,2010,1,13,23,-18,-13,1027,NE,0.89,0,0
75,2010,1,14,0,-18,-14,1026,NE,1.78,0,0
257,2010,1,14,1,-20,-15,1025,NE,2.67,0,0
174,2010,1,14,2,-20,-15,1025,NW,0.89,0,0
164,2010,1,14,3,-20,-16,1025,NW,1.78,0,0
161,2010,1,14,4,-20,-16,1024,NW,3.57,0,0
137,2010,1,14,5,-21,-17,1024,NW,6.7,0,0
92,2010,1,14,6,-19,-14,1023,NW,10.72,0,0
64,2010,1,14,7,-21,-17,1023,NW,13.85,0,0
87,2010,1,14,8,-19,-15,1024,NW,15.64,0,0
87,2010,1,14,9,-19,-14,1024,NW,18.77,0,0
84,2010,1,14,10,-18,-10,1024,NW,22.79,0,0
95,2010,1,14,11,-17,-9,1023,NW,24.58,0,0
79,2010,1,14,12,-16,-6,1023,NW,26.37,0,0
75,2010,1,14,13,-17,-5,1022,NW,28.16,0,0
79,2010,1,14,14,-16,-5,1022,NW,29.95,0,0
86,2010,1,14,15,-15,-4,1022,NW,33.08,0,0
72,2010,1,14,16,-16,-4,1023,cv,0.89,0,0
89,2010,1,14,17,-15,-5,1025,SE,1.79,0,0
94,2010,1,14,18,-14,-3,1026,NW,5.81,0,0
69,2010,1,14,19,-16,-3,1027,NW,11.62,0,0
49,2010,1,14,20,-15,-4,1029,NW,20.56,0,0
33,2010,1,14,21,-16,-5,1031,NW,24.58,0,0
27,2010,1,14,22,-17,-6,1032,NE,3.13,0,0
20,2010,1,14,23,-18,-6,1033,NE,8.05,0,0
36,2010,1,15,0,-19,-7,1034,NE,13.86,0,0
37,2010,1,15,1,-17,-8,1035,NW,5.81,0,0
30,2010,1,15,2,-18,-10,1035,NW,11.62,0,0
18,2010,1,15,3,-19,-10,1036,NW,14.75,0,0
21,2010,1,15,4,-19,-9,1036,NW,19.67,0,0
13,2010,1,15,5,-19,-9,1036,NE,7.15,0,0
23,2010,1,15,6,-20,-9,1037,NE,12.96,0,0
26,2010,1,15,7,-19,-9,1037,NE,18.77,0,0
27,2010,1,15,8,-19,-8,1038,NE,22.79,0,0
30,2010,1,15,9,-19,-8,1039,NE,28.6,0,0
28,2010,1,15,10,-19,-7,1039,NE,35.75,0,0
26,2010,1,15,11,-18,-6,1039,NE,41.56,0,0
26,2010,1,15,12,-18,-5,1039,NE,45.58,0,0
31,2010,1,15,13,-17,-4,1038,NW,1.79,0,0
35,2010,1,15,14,-16,-3,1037,cv,0.89,0,0
36,2010,1,15,15,-17,-3,1037,cv,1.78,0,0
37,2010,1,15,16,-17,-2,1037,cv,2.23,0,0
64,2010,1,15,17,-15,-5,1036,SE,0.89,0,0
83,2010,1,15,18,-15,-6,1036,cv,0.89,0,0
91,2010,1,15,19,-15,-6,1037,cv,1.78,0,0
90,2010,1,15,20,-14,-6,1037,SE,1.79,0,0
102,2010,1,15,21,-14,-8,1036,SE,3.58,0,0
94,2010,1,15,22,-14,-10,1037,cv,0.89,0,0
87,2010,1,15,23,-15,-11,1036,cv,1.78,0,0
141,2010,1,16,0,-15,-11,1036,cv,2.67,0,0
211,2010,1,16,1,-16,-13,1036,NE,0.89,0,0
242,2010,1,16,2,-16,-12,1036,cv,0.89,0,0
271,2010,1,16,3,-16,-13,1035,NE,0.89,0,0
249,2010,1,16,4,-15,-12,1035,NE,1.78,0,0
200,2010,1,16,5,-14,-10,1034,NW,1.79,0,0
147,2010,1,16,6,-15,-10,1034,NW,2.68,0,0
114,2010,1,16,7,-15,-11,1034,NW,4.47,0,0
102,2010,1,16,8,-15,-11,1034,NW,6.26,0,0
108,2010,1,16,9,-14,-9,1034,NW,8.05,0,0
135,2010,1,16,10,-14,-9,1034,NW,9.84,0,0
120,2010,1,16,11,-13,-6,1034,cv,0.89,0,0
148,2010,1,16,12,-13,-5,1033,NW,1.79,0,0
127,2010,1,16,13,-12,-4,1031,cv,0.89,0,0
128,2010,1,16,14,-12,-3,1031,cv,1.78,0,0
140,2010,1,16,15,-12,-3,1030,cv,2.67,0,0
148,2010,1,16,16,-11,-3,1030,cv,3.56,0,0
150,2010,1,16,17,-11,-4,1031,NE,0.89,0,0
154,2010,1,16,18,-12,-7,1031,cv,0.89,0,0
197,2010,1,16,19,-12,-7,1032,cv,1.78,0,0
235,2010,1,16,20,-12,-8,1032,cv,2.23,0,0
261,2010,1,16,21,-12,-9,1032,cv,3.12,0,0
269,2010,1,16,22,-13,-11,1032,NW,0.89,0,0
266,2010,1,16,23,-14,-11,1032,NW,2.68,0,0
263,2010,1,17,0,-15,-12,1032,NW,5.81,0,0
241,2010,1,17,1,-14,-11,1032,cv,0.45,0,0
205,2010,1,17,2,-14,-11,1031,cv,1.34,0,0
160,2010,1,17,3,-14,-12,1031,NW,1.79,0,0
150,2010,1,17,4,-14,-12,1031,NW,3.58,0,0
148,2010,1,17,5,-14,-10,1030,NW,6.71,0,0
208,2010,1,17,6,-14,-11,1030,NW,9.84,0,0
209,2010,1,17,7,-15,-10,1030,NW,11.63,0,0
183,2010,1,17,8,-13,-10,1030,NW,14.76,0,0
161,2010,1,17,9,-13,-8,1030,NW,17.89,0,0
182,2010,1,17,10,-12,-6,1030,cv,0.45,0,0
230,2010,1,17,11,-11,-5,1030,cv,1.34,0,0
170,2010,1,17,12,-11,-4,1029,cv,2.23,0,0
172,2010,1,17,13,-11,-3,1028,cv,3.12,0,0
154,2010,1,17,14,-10,-1,1027,cv,4.01,0,0
166,2010,1,17,15,-11,-1,1027,cv,4.46,0,0
177,2010,1,17,16,-10,-1,1026,SE,0.89,0,0
191,2010,1,17,17,-10,-3,1026,SE,1.78,0,0
212,2010,1,17,18,-10,-5,1027,SE,2.67,0,0
250,2010,1,17,19,-10,-6,1027,NE,0.89,0,0
268,2010,1,17,20,-11,-7,1027,cv,0.45,0,0
317,2010,1,17,21,-10,-7,1027,cv,0.9,0,0
291,2010,1,17,22,-11,-9,1027,cv,1.35,0,0
313,2010,1,17,23,-12,-9,1027,NE,0.89,0,0
282,2010,1,18,0,-12,-10,1028,cv,0.89,0,0
282,2010,1,18,1,-13,-11,1028,NW,3.13,0,0
303,2010,1,18,2,-11,-9,1028,NW,4.92,0,0
349,2010,1,18,3,-13,-10,1028,NW,6.71,0,0
407,2010,1,18,4,-13,-11,1028,NW,7.6,0,0
361,2010,1,18,5,-13,-11,1027,NE,1.79,0,0
234,2010,1,18,6,-14,-11,1028,NW,0.89,0,0
149,2010,1,18,7,-14,-11,1028,NW,4.02,0,0
147,2010,1,18,8,-14,-11,1028,NW,5.81,0,0
184,2010,1,18,9,-11,-6,1028,NW,9.83,0,0
161,2010,1,18,10,-10,-5,1028,NW,11.62,0,0
137,2010,1,18,11,-9,-3,1028,NW,13.41,0,0
146,2010,1,18,12,-8,-1,1027,NW,15.2,0,0
144,2010,1,18,13,-9,0,1026,NW,16.99,0,0
154,2010,1,18,14,-9,1,1025,NE,1.79,0,0
173,2010,1,18,15,-9,1,1025,cv,0.89,0,0
188,2010,1,18,16,-8,1,1025,SE,0.89,0,0
203,2010,1,18,17,-7,-1,1025,SE,2.68,0,0
233,2010,1,18,18,-7,-2,1025,cv,0.89,0,0
408,2010,1,18,19,-7,-3,1025,SE,0.89,0,0
435,2010,1,18,20,-5,-2,1026,cv,0.89,0,0
403,2010,1,18,21,-5,-1,1026,NW,1.79,0,0
360,2010,1,18,22,-5,-1,1026,NW,3.58,0,0
402,2010,1,18,23,-6,-1,1026,cv,0.89,0,0
358,2010,1,19,0,-4,-1,1025,NW,1.79,0,0
383,2010,1,19,1,-5,-1,1024,NW,4.92,0,0
332,2010,1,19,2,-5,-1,1024,NW,6.71,0,0
274,2010,1,19,3,-5,-1,1023,NW,8.5,0,0
256,2010,1,19,4,-4,-1,1022,NW,10.29,0,0
302,2010,1,19,5,-4,-1,1021,NW,11.18,0,0
330,2010,1,19,6,-4,-1,1021,NW,12.07,0,0
367,2010,1,19,7,-4,-1,1021,NW,13.86,0,0
297,2010,1,19,8,-4,0,1021,cv,0.89,0,0
331,2010,1,19,9,-4,0,1021,NW,1.79,0,0
323,2010,1,19,10,-4,0,1021,cv,0.89,0,0
339,2010,1,19,11,-5,1,1021,NW,1.79,0,0
301,2010,1,19,12,-5,1,1020,cv,0.89,0,0
310,2010,1,19,13,-4,1,1019,cv,1.34,0,0
305,2010,1,19,14,-4,1,1018,NE,0.89,0,0
313,2010,1,19,15,-3,2,1018,cv,0.45,0,0
