pm2.5,dew_point,temperature,pressure,wind_direction,wind_speed,hours,rain_hours
22,-17,-5,1035,NW,52.31,0,0
23,-17,-6,1035,NW,60.36,0,0
27,-17,-8,1035,cv,0.89,0,0
23,-19,-11,1036,NW,4.02,0,0
17,-20,-11,1036,NW,8.94,0,0
17,-21,-11,1035,NE,4.02,0,0
16,-22,-12,1035,NW,3.13,0,0
16,-22,-12,1035,NE,4.92,0,0
20,-22,-13,1036,NW,5.81,0,0
20,-22,-9,1036,NW,13.86,0,0
18,-22,-10,1036,NW,21.91,0,0
25,-22,-9,1036,NW,29.06,0,0
26,-21,-9,1036,NW,33.08,0,0
27,-20,-6,1035,NW,42.02,0,0
28,-19,-5,1034,NW,50.96,0,0
15,-19,-5,1033,NW,59.01,0,0
24,-20,-5,1033,NW,66.16,0,0
13,-20,-5,1032,NW,71.97,0,0
13,-20,-5,1033,NW,76.89,0,0
13,-20,-7,1033,NW,81.81,0,0
17,-22,-7,1033,NW,85.83,0,0
20,-22,-8,1033,NW,89.85,0,0
27,-23,-10,1033,NW,91.64,0,0
20,-23,-13,1033,NW,93.43,0,0
15,-22,-12,1032,cv,0.89,0,0
21,-22,-15,1031,cv,1.78,0,0
21,-22,-14,1031,NE,1.79,0,0
37,-22,-14,1031,NW,0.89,0,0
26,-24,-18,1030,NE,1.79,0,0
15,-24,-13,1030,NE,3.58,0,0
9,-25,-14,1030,NW,3.13,0,0
11,-24,-14,1030,NW,7.15,0,0
11,-25,-12,1030,NW,12.96,0,0
16,-26,-14,1030,NW,16.98,0,0
13,-25,-12,1031,NW,21,0,0
15,-25,-11,1031,NW,26.81,0,0
21,-24,-11,1030,NW,35.75,0,0
24,-23,-11,1029,NW,47.82,0,0
22,-22,-11,1029,NW,63.02,0,0
22,-23,-11,1029,NW,75.98,0,0
22,-22,-11,1029,NW,88.05,0,0
19,-23,-11,1030,NW,101.01,0,0
23,-24,-11,1030,NW,109.06,0,0
25,-24,-11,1032,NW,118,0,0
25,-23,-11,1032,NW,126.05,0,0
31,-23,-12,1032,NW,134.1,0,0
25,-24,-12,1033,NW,142.15,0,0
22,-23,-12,1033,NW,150.2,0,0
22,-23,-12,1034,NW,160.03,0,0
15,-24,-12,1034,NW,169.86,0,0
16,-24,-12,1033,NW,178.8,0,0
11,-25,-12,1033,NW,189.98,0,0
11,-24,-13,1033,NW,198.03,0,0
12,-25,-12,1032,NW,205.18,0,0
11,-25,-12,1033,NW,215.01,0,0
12,-25,-12,1032,NW,226.19,0,0
27,-25,-12,1032,NW,235.13,0,0
28,-25,-12,1032,NW,243.18,0,0
34,-23,-11,1033,NW,252.12,0,0
33,-23,-10,1033,NW,257.93,0,0
36,-22,-9,1033,NW,263.74,0,0
26,-21,-8,1031,NW,270.89,0,0
49,-21,-6,1030,NW,278.94,0,0
52,-20,-5,1029,NW,286.99,0,0
47,-22,-5,1028,NW,294.14,0,0
47,-21,-5,1028,NW,299.06,0,0
39,-19,-7,1028,SE,1.79,0,0
59,-19,-8,1028,cv,0.45,0,0
76,-20,-9,1028,cv,1.34,0,0
96,-19,-10,1027,SE,1.79,0,0
95,-19,-13,1027,cv,0.89,0,0
68,-18,-12,1027,cv,1.78,0,0
65,-18,-13,1027,NE,0.89,0,0
75,-18,-14,1026,NE,1.78,0,0
257,-20,-15,1025,NE,2.67,0,0
174,-20,-15,1025,NW,0.89,0,0
164,-20,-16,1025,NW,1.78,0,0
161,-20,-16,1024,NW,3.57,0,0
137,-21,-17,1024,NW,6.7,0,0
92,-19,-14,1023,NW,10.72,0,0
64,-21,-17,1023,NW,13.85,0,0
87,-19,-15,1024,NW,15.64,0,0
87,-19,-14,1024,NW,18.77,0,0
84,-18,-10,1024,NW,22.79,0,0
95,-17,-9,1023,NW,24.58,0,0
79,-16,-6,1023,NW,26.37,0,0
75,-17,-5,1022,NW,28.16,0,0
79,-16,-5,1022,NW,29.95,0,0
86,-15,-4,1022,NW,33.08,0,0
72,-16,-4,1023,cv,0.89,0,0
89,-15,-5,1025,SE,1.79,0,0
94,-14,-3,1026,NW,5.81,0,0
69,-16,-3,1027,NW,11.62,0,0
49,-15,-4,1029,NW,20.56,0,0
33,-16,-5,1031,NW,24.58,0,0
27,-17,-6,1032,NE,3.13,0,0
20,-18,-6,1033,NE,8.05,0,0
36,-19,-7,1034,NE,13.86,0,0
37,-17,-8,1035,NW,5.81,0,0
30,-18,-10,1035,NW,11.62,0,0
18,-19,-10,1036,NW,14.75,0,0
21,-19,-9,1036,NW,19.67,0,0
13,-19,-9,1036,NE,7.15,0,0
23,-20,-9,1037,NE,12.96,0,0
26,-19,-9,1037,NE,18.77,0,0
27,-19,-8,1038,NE,22.79,0,0
30,-19,-8,1039,NE,28.6,0,0
28,-19,-7,1039,NE,35.75,0,0
26,-18,-6,1039,NE,41.56,0,0
26,-18,-5,1039,NE,45.58,0,0
31,-17,-4,1038,NW,1.79,0,0
35,-16,-3,1037,cv,0.89,0,0
36,-17,-3,1037,cv,1.78,0,0
37,-17,-2,1037,cv,2.23,0,0
64,-15,-5,1036,SE,0.89,0,0
83,-15,-6,1036,cv,0.89,0,0
91,-15,-6,1037,cv,1.78,0,0
90,-14,-6,1037,SE,1.79,0,0
102,-14,-8,1036,SE,3.58,0,0
94,-14,-10,1037,cv,0.89,0,0
87,-15,-11,1036,cv,1.78,0,0
141,-15,-11,1036,cv,2.67,0,0
211,-16,-13,1036,NE,0.89,0,0
242,-16,-12,1036,cv,0.89,0,0
271,-16,-13,1035,NE,0.89,0,0
249,-15,-12,1035,NE,1.78,0,0
200,-14,-10,1034,NW,1.79,0,0
147,-15,-10,1034,NW,2.68,0,0
114,-15,-11,1034,NW,4.47,0,0
102,-15,-11,1034,NW,6.26,0,0
108,-14,-9,1034,NW,8.05,0,0
135,-14,-9,1034,NW,9.84,0,0
120,-13,-6,1034,cv,0.89,0,0
148,-13,-5,1033,NW,1.79,0,0
127,-12,-4,1031,cv,0.89,0,0
128,-12,-3,1031,cv,1.78,0,0
140,-12,-3,1030,cv,2.67,0,0
148,-11,-3,1030,cv,3.56,0,0
150,-11,-4,1031,NE,0.89,0,0
154,-12,-7,1031,cv,0.89,0,0
197,-12,-7,1032,cv,1.78,0,0
235,-12,-8,1032,cv,2.23,0,0
261,-12,-9,1032,cv,3.12,0,0
269,-13,-11,1032,NW,0.89,0,0
266,-14,-11,1032,NW,2.68,0,0
263,-15,-12,1032,NW,5.81,0,0
241,-14,-11,1032,cv,0.45,0,0
205,-14,-11,1031,cv,1.34,0,0
160,-14,-12,1031,NW,1.79,0,0
150,-14,-12,1031,NW,3.58,0,0
148,-14,-10,1030,NW,6.71,0,0
208,-14,-11,1030,NW,9.84,0,0
209,-15,-10,1030,NW,11.63,0,0
183,-13,-10,1030,NW,14.76,0,0
161,-13,-8,1030,NW,17.89,0,0
182,-12,-6,1030,cv,0.45,0,0
230,-11,-5,1030,cv,1.34,0,0
170,-11,-4,1029,cv,2.23,0,0
172,-11,-3,1028,cv,3.12,0,0
154,-10,-1,1027,cv,4.01,0,0
166,-11,-1,1027,cv,4.46,0,0
177,-10,-1,1026,SE,0.89,0,0
191,-10,-3,1026,SE,1.78,0,0
212,-10,-5,1027,SE,2.67,0,0
250,-10,-6,1027,NE,0.89,0,0
268,-11,-7,1027,cv,0.45,0,0
317,-10,-7,1027,cv,0.9,0,0
291,-11,-9,1027,cv,1.35,0,0
313,-12,-9,1027,NE,0.89,0,0
282,-12,-10,1028,cv,0.89,0,0
282,-13,-11,1028,NW,3.13,0,0
303,-11,-9,1028,NW,4.92,0,0
349,-13,-10,1028,NW,6.71,0,0
407,-13,-11,1028,NW,7.6,0,0
361,-13,-11,1027,NE,1.79,0,0
234,-14,-11,1028,NW,0.89,0,0
149,-14,-11,1028,NW,4.02,0,0
147,-14,-11,1028,NW,5.81,0,0
184,-11,-6,1028,NW,9.83,0,0
161,-10,-5,1028,NW,11.62,0,0
137,-9,-3,1028,NW,13.41,0,0
146,-8,-1,1027,NW,15.2,0,0
144,-9,0,1026,NW,16.99,0,0
154,-9,1,1025,NE,1.79,0,0
173,-9,1,1025,cv,0.89,0,0
188,-8,1,1025,SE,0.89,0,0
203,-7,-1,1025,SE,2.68,0,0
233,-7,-2,1025,cv,0.89,0,0
408,-7,-3,1025,SE,0.89,0,0
435,-5,-2,1026,cv,0.89,0,0
403,-5,-1,1026,NW,1.79,0,0
360,-5,-1,1026,NW,3.58,0,0
402,-6,-1,1026,cv,0.89,0,0
358,-4,-1,1025,NW,1.79,0,0
383,-5,-1,1024,NW,4.92,0,0
332,-5,-1,1024,NW,6.71,0,0
274,-5,-1,1023,NW,8.5,0,0
256,-4,-1,1022,NW,10.29,0,0
302,-4,-1,1021,NW,11.18,0,0
330,-4,-1,1021,NW,12.07,0,0
367,-4,-1,1021,NW,13.86,0,0
297,-4,0,1021,cv,0.89,0,0
331,-4,0,1021,NW,1.79,0,0
323,-4,0,1021,cv,0.89,0,0
339,-5,1,1021,NW,1.79,0,0
301,-5,1,1020,cv,0.89,0,0
310,-4,1,1019,cv,1.34,0,0
305,-4,1,1018,NE,0.89,0,0
313,-3,2,1018,cv,0.45,0,0
336,-3,2,1018,cv,1.34,0,0
357,-2,2,1018,NE,0.89,0,0
485,-3,1,1018,cv,0.89,0,0
426,-3,2,1020,NW,1.79,0,0
403,-3,1,1020,NW,4.92,0,0
374,-3,0,1021,NW,6.71,0,0
333,-3,0,1021,NW,8.5,0,0
343,-3,1,1020,NW,11.63,0,0
364,-2,0,1021,NW,14.76,0,0
389,-2,-1,1022,NW,16.55,0,0
368,-4,-2,1022,NW,19.68,0,0
267,-2,-1,1023,NW,25.49,0,0
71,-3,1,1023,NW,28.62,0,0
81,-3,0,1024,NW,31.75,0,0
51,-5,2,1026,NW,36.67,0,0
49,-9,1,1027,NW,41.59,0,0
44,-10,0,1028,NW,48.74,0,0
45,-10,0,1030,NW,55.89,0,0
35,-11,1,1032,NW,63.04,0,0
29,-13,0,1033,NW,71.09,0,0
27,-13,0,1033,NW,78.24,0,0
29,-13,-1,1033,NE,8.05,0,0
16,-13,-1,1032,NW,7.15,0,0
23,-15,-1,1032,NE,5.81,0,0
28,-14,-1,1033,NW,5.81,0,0
22,-15,-2,1033,NW,12.96,0,0
11,-16,-3,1034,NW,21.01,0,0
25,-17,-4,1035,NW,28.16,0,0
16,-19,-3,1036,NW,37.99,0,0
20,-18,-4,1037,NW,46.93,0,0
20,-19,-4,1038,NW,55.87,0,0
18,-19,-5,1038,NW,65.7,0,0
18,-20,-6,1038,NW,75.53,0,0
17,-20,-6,1038,NW,85.36,0,0
17,-20,-7,1038,NW,95.19,0,0
17,-22,-8,1038,NW,103.24,0,0
15,-23,-8,1038,NW,111.29,0,0
19,-24,-9,1038,NW,118.44,0,0
16,-24,-9,1038,NW,128.27,0,0
18,-25,-9,1038,NW,138.1,0,0
18,-25,-8,1039,NW,147.04,0,0
18,-25,-8,1039,NW,155.98,0,0
26,-22,-7,1039,NW,160.9,0,0
26,-22,-7,1038,NE,3.13,0,0
25,-22,-5,1037,NW,4.02,0,0
24,-21,-5,1035,NE,3.13,0,0
15,-21,-4,1034,SE,1.79,0,0
17,-20,-3,1034,NE,1.79,0,0
15,-21,-2,1033,NW,4.92,0,0
21,-20,-2,1033,NW,10.73,0,0
40,-20,-2,1034,NW,15.65,0,0
51,-19,-3,1034,NW,21.46,0,0
45,-19,-3,1035,NW,25.48,0,0
61,-17,-8,1035,NE,0.89,0,0
72,-18,-9,1035,NW,1.79,0,0
38,-18,-9,1035,NW,3.58,0,0
35,-18,-6,1036,NW,7.6,0,0
29,-20,-4,1037,NW,17.43,0,0
26,-21,-5,1037,NW,27.26,0,0
18,-21,-6,1037,NW,35.31,0,0
15,-20,-7,1036,NW,42.46,0,0
15,-20,-7,1035,NW,48.27,0,0
22,-20,-7,1035,NW,54.08,0,0
21,-20,-7,1036,NW,59,0,0
19,-19,-7,1036,NW,63.92,0,0
22,-20,-5,1036,NW,67.94,0,0
25,-19,-4,1036,NW,75.09,0,0
22,-19,-4,1036,NW,84.03,0,0
26,-19,-3,1035,NW,95.21,0,0
32,-18,-3,1034,NW,105.04,0,0
30,-19,-2,1033,NW,114.87,0,0
32,-18,-2,1032,NW,124.7,0,0
30,-18,-2,1032,NW,133.64,0,0
32,-18,-2,1032,NW,139.45,0,0
37,-18,-3,1032,NW,144.37,0,0
49,-17,-5,1033,NW,149.29,0,0
47,-18,-4,1033,NW,153.31,0,0
39,-17,-4,1032,NW,159.12,0,0
35,-17,-4,1032,NW,164.04,0,0
48,-17,-7,1032,NW,168.06,0,0
49,-17,-4,1033,NW,172.08,0,0
24,-17,-8,1033,cv,0.89,0,0
23,-17,-5,1032,NW,4.92,0,0
20,-18,-6,1032,NW,8.05,0,0
19,-18,-5,1031,NW,12.97,0,0
16,-18,-6,1031,NW,16.1,0,0
22,-18,-7,1031,NW,20.12,0,0
24,-18,-7,1031,NW,24.14,0,0
24,-18,-6,1031,NW,25.93,0,0
41,-18,-2,1031,NW,30.85,0,0
23,-17,-1,1031,NW,38.9,0,0
19,-17,0,1030,NW,46.95,0,0
15,-19,1,1029,NW,55,0,0
19,-20,2,1027,NW,63.05,0,0
17,-19,2,1025,NW,71.1,0,0
17,-19,3,1024,NW,79.15,0,0
22,-19,3,1024,NW,86.3,0,0
NA,-18,2,1024,NW,91.22,0,0
NA,-18,1,1024,NW,96.14,0,0
NA,-17,0,1024,NW,100.16,0,0
NA,-18,0,1024,SE,1.79,0,0
NA,-15,-3,1024,cv,0.89,0,0
NA,-16,0,1023,NW,1.79,0,0
NA,-16,0,1023,NW,4.92,0,0
NA,-15,-2,1022,NW,6.71,0,0
NA,-14,-7,1022,cv,0.45,0,0
NA,-14,-8,1021,NW,1.79,0,0
NA,-16,-11,1021,NW,3.58,0,0
NA,-14,-9,1019,NW,4.47,0,0
NA,-15,-10,1019,cv,0.89,0,0
NA,-16,-12,1019,SE,0.89,0,0
NA,-15,-12,1019,cv,0.89,0,0
NA,-16,-13,1019,NE,1.79,0,0
NA,-13,-7,1020,cv,0.89,0,0
NA,-12,-4,1019,cv,1.78,0,0
NA,-13,0,1019,cv,2.67,0,0
NA,-16,4,1018,NW,4.02,0,0
NA,-19,5,1017,NW,13.85,0,0
NA,-18,5,1017,NW,22.79,0,0
NA,-19,5,1017,NW,32.62,0,0
NA,-20,5,1018,NW,40.67,0,0
NA,-19,3,1020,NW,49.61,0,0
NA,-18,1,1023,NW,61.68,0,0
NA,-20,-1,1027,NW,76.88,0,0
NA,-20,-2,1028,NW,89.84,0,0
NA,-21,-3,1029,NW,98.78,0,0
NA,-25,-4,1030,NW,113.98,0,0
NA,-26,-5,1031,NW,129.18,0,0
NA,-25,-5,1031,NW,141.25,0,0
NA,-25,-6,1031,NW,150.19,0,0
NA,-24,-6,1032,NW,162.26,0,0
NA,-24,-6,1033,NW,172.09,0,0
NA,-23,-6,1033,NW,181.92,0,0
NA,-22,-7,1033,NW,187.73,0,0
NA,-21,-7,1033,NW,192.65,0,0
NA,-21,-7,1034,NW,196.67,0,0
NA,-21,-6,1035,NW,201.59,0,0
NA,-21,-4,1036,NW,207.4,0,0
NA,-22,-3,1036,NW,216.34,0,0
NA,-22,-2,1036,NW,222.15,0,0
NA,-23,-1,1035,NW,230.2,0,0
NA,-26,1,1033,NW,238.25,0,0
NA,-25,2,1032,NW,245.4,0,0
NA,-25,2,1031,NW,252.55,0,0
NA,-24,2,1031,NW,257.47,0,0
NA,-22,1,1031,SE,4.02,0,0
NA,-19,-1,1031,SE,7.15,0,0
NA,-19,-1,1031,SE,10.28,0,0
NA,-17,-4,1031,SE,12.07,0,0
NA,-18,-1,1031,SE,15.2,0,0
NA,-18,-5,1030,cv,0.89,0,0
NA,-18,-3,1030,SE,3.13,0,0
NA,-16,-9,1030,cv,0.89,0,0
NA,-16,-8,1029,cv,1.78,0,0
NA,-16,-11,1029,cv,2.23,0,0
NA,-16,-12,1029,cv,3.12,0,0
NA,-16,-10,1028,NW,3.13,0,0
NA,-17,-10,1028,NW,4.92,0,0
NA,-17,-12,1027,NW,6.71,0,0
NA,-17,-10,1027,NW,8.5,0,0
NA,-18,-13,1028,NE,1.79,0,0
NA,-16,-8,1028,NW,4.02,0,0
NA,-16,-6,1027,NW,5.81,0,0
NA,-15,-3,1027,cv,0.89,0,0
88,-15,-1,1025,SE,1.79,0,0
85,-18,0,1024,SE,3.58,0,0
90,-19,1,1023,cv,0.89,0,0
127,-18,2,1021,SE,1.79,0,0
144,-17,1,1021,SE,4.92,0,0
203,-14,-1,1021,SE,5.81,0,0
199,-13,-3,1021,SE,6.7,0,0
231,-13,-3,1021,cv,0.89,0,0
274,-11,-5,1020,NE,0.89,0,0
340,-13,-6,1020,NW,1.79,0,0
298,-11,-5,1020,cv,0.89,0,0
268,-11,-4,1019,NW,1.79,0,0
299,-11,-4,1019,NW,3.58,0,0
300,-12,-3,1018,NW,5.37,0,0
240,-11,-4,1017,NW,7.16,0,0
213,-11,-4,1016,NW,10.29,0,0
171,-12,-3,1016,NW,12.08,0,0
153,-11,-4,1016,NW,15.21,0,0
153,-11,-5,1015,NW,17,0,0
